price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
110.0,227,42.31826,-71.09956,Private room,2,254,4.92,STR-529704,Jamaica Plain,1,1.0,Sunlit room with private bath,16,t,96,10560.0,1
454.0,1107,42.3357,-71.05395,Entire home/apt,1,10,4.91,STR-383708,South Boston,1,3.0,Sanitized Modern 3BD private home-near BCEC,111,t,255,115770.0,1
240.0,62,42.31063344940129,-71.10855891982172,Entire home/apt,2,277,4.89,STR-522672,Jamaica Plain,1,2.0,Airy new apt for 2-6. Near subway. Free parking.,17,t,102,24480.0,1
259.0,28,42.366747719022264,-71.05288415197064,Entire home/apt,29,66,4.93,Exempt: This listing is a unit used for furnished institutional or business stays,North End,29,0.0,Beautiful Studio Apt in North End,0,f,0,0.0,1
69.0,14,42.28547,-71.06799,Private room,91,268,5.0,none,Dorchester,1,1.0,"Bright, cozy bedroom in Victorian",1,f,182,12558.0,0
85.0,50,42.31246,-71.10793,Private room,29,322,4.7,STR-416301,Jamaica Plain,2,1.0,Quiet Artist's Retreat,2,f,116,9860.0,1
130.0,595,42.32971,-71.0931,Private room,2,49,4.95,STR-580450,Roxbury,6,1.0,AKBrownstone: Master Suite park view by T,76,t,255,33150.0,1
175.0,79,42.34128,-71.07607,Entire home/apt,33,0,4.71,none,South End,5,0.0,Studio apart Tremont St South End #2,4,t,255,44625.0,0
100.0,5,42.38829,-71.00437,Private room,100,364,4.4,none,East Boston,2,1.0,Room Logan Airport  1/2 bathroom,0,f,0,0.0,0
160.0,149,42.34128,-71.07607,Entire home/apt,30,216,4.82,none,South End,5,2.0,large & grand 2 bedroom South End by Copley Sq #3,1,t,60,9600.0,0
221.0,88,42.34128,-71.07607,Entire home/apt,31,79,4.83,none,South End,5,1.0,newly furn one bedroom by Copley #6,4,t,248,54808.0,0
160.0,15,42.35309,-71.14822,Entire home/apt,45,232,4.67,none,Brighton,1,3.0,"Grt Location, Big 3 Bed, Nr all Colleges, parking",3,f,255,40800.0,0
97.0,480,42.32942,-71.09149,Private room,2,50,4.93,STR-580450,Roxbury,6,1.0,AKBrownstone: modern treetop skyline view by T,83,t,255,24735.0,1
166.0,232,42.36017,-71.06346,Entire home/apt,1,355,4.56,STR-415631,Beacon Hill,87,0.0,Perfectly Located Rental Near MGH & TD Garden #13,24,f,144,23904.0,1
132.0,109,42.34441,-71.07633,Entire home/apt,1,347,4.58,STR-441258,South End,87,0.0,South End Studio Perfect for Work Travel #36,7,f,42,5544.0,1
