price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
153.0,208,42.28657,-71.13236,Entire home/apt,2,335,4.85,STR-544893,Roslindale,1,1.0,1bd Boston apt - convenient & quiet,31,t,186,28458.0,1
132.0,269,42.31281,-71.06098,Entire home/apt,2,256,4.53,STR-547060,Dorchester,3,1.0,"Garden Suite near subway, beach",14,t,84,11088.0,1
124.0,512,42.32811,-71.09157,Private room,2,40,4.94,STR-580450,Roxbury,6,1.0,"AKBrownstone: custom-built, park garden view by T",64,t,255,31620.0,1
118.0,148,42.31907,-71.09252,Entire home/apt,28,136,4.93,STR-396299,Roxbury,4,0.0,Urban Travelers Modern Studio,3,t,168,19824.0,1
188.0,254,42.35884,-71.06332,Entire home/apt,91,283,4.8,none,Beacon Hill,1,1.0,Luxury Beacon Hill Apartment 1-BR,1,t,182,34216.0,0
159.0,31,42.32213,-71.06094,Entire home/apt,30,46,4.39,none,Dorchester,58,3.0,230B2 | The Roseclair Redline | 3BR 1B w/AC | Pvt,0,f,0,0.0,0
177.0,339,42.32843,-71.09369,Entire home/apt,2,158,4.78,STR-528095,Roxbury,5,1.0,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",37,t,222,39294.0,1
38.0,6,42.31676,-71.08,Private room,91,365,4.33,none,Roxbury,31,2.0,Parking Close 2 Downtown Renovated,0,f,0,0.0,0
149.0,6,42.27242,-71.16573,Entire home/apt,2,76,4.83,STR-563142,West Roxbury,1,1.0,Private Boston Antique Suite,0,f,0,0.0,1
150.0,257,42.35792,-71.06432,Entire home/apt,29,181,4.9,none,Beacon Hill,1,1.0,Beacon Hill Fabulous One Bedroom Apartment,4,f,232,34800.0,0
105.0,130,42.31016,-71.10582,Private room,29,53,4.88,STR-399287,Jamaica Plain,1,2.0,"Entire 2nd floor, skylight suite is all yours!",1,f,58,6090.0,1
42.0,90,42.38679,-71.00271,Private room,91,90,4.38,none,East Boston,1,1.0,Minutes to Boston-Near Beach 69-1,0,f,0,0.0,0
169.0,364,42.33765,-71.07434,Entire home/apt,29,91,4.83,none,South End,1,2.0,"Sensational South End - 2BR, no stairs",4,f,232,39208.0,0
112.0,235,42.31826,-71.09956,Private room,2,261,4.92,STR-529704,Jamaica Plain,1,1.0,Sunlit room with private bath,17,f,102,11424.0,1
228.0,61,42.36619,-71.05217,Entire home/apt,10,155,4.72,STR-550229,North End,55,2.0,Spacious Apt In North End,0,f,0,0.0,1
241.0,65,42.31063344940129,-71.10855891982172,Entire home/apt,2,287,4.89,STR-522672,Jamaica Plain,1,2.0,Airy new apt for 2-6. Near subway. Free parking.,12,t,72,17352.0,1
69.0,14,42.28547,-71.06799,Private room,91,193,5.0,none,Dorchester,1,1.0,"Bright, cozy bedroom in Victorian",1,f,182,12558.0,0
85.0,50,42.31246,-71.10793,Private room,29,265,4.7,STR-416301,Jamaica Plain,2,1.0,Quiet Artist's Retreat,1,f,58,4930.0,1
